ChangesApplied.txt
==========================================================================
Remediations applied to /home/don/sdb64/sd64/gplsrc
Applied by Composer AI - 2026/06/10

Every change is marked in the source with a comment beginning
"Modified by Composer AI - 2026/06/10." and is terminated by a comment line
containing 20 dashes. The replaced code is preserved, commented out,
immediately above each change where practical.

Summary: 55 files, 208 change blocks.

Program          Line   Description
messages.c         237  Do not point "message" at a string literal (see fallback_msg above); return the static fallback buffer instead. messa...
messages.c         257  Off-by-one: the buffer must hold msg_size bytes PLUS the terminating NUL written below ("message[msg_size] = '\0'"). ...
messages.c         281  k_alloc() is malloc() and can return NULL; read() into and writing the NUL terminator through a NULL pointer crashed....
messages.c         308  If the message is empty, message[message_len-1] reads (and could write) one byte BEFORE the start of the buffer. Guar...
netfiles.c         465  Use re-entrant strtok_r() instead of strtok(). { char* savep = NULL; host = strtok(p, ","); username = strtok(NULL, "...
netfiles.c         483  atoi -> strtol. port = atoi(p + 1); port = (int)strtol(p + 1, NULL, 10);
object.c           548  k_alloc() is malloc() and can return NULL; guard before writing. if (p == NULL) { k_error("Insufficient memory for HS...
objprog.c          345  k_alloc() is malloc() and can return NULL; guard before writing. if (objdata == NULL) { k_error("Insufficient memory ...
op_arith.c        1179  result was used uninitialized if neither switch case matched. int32_t result; int32_t result = 0;
op_array.c          54  k_error() longjmps back to the kernel command loop and never returns, but the analyzer cannot see this across transla...
op_array.c         363  a_hdr was used uninitialized on the path where the switch default case is taken (analyzer cannot see that k_not_array...
op_array.c         446  indx and a_hdr were used uninitialized on the path where the switch default case is taken (analyzer cannot see that k...
op_array.c         566  rows and cols were used uninitialized on the path where the switch default case is taken (analyzer cannot see that k_...
op_array.c         694  a_alloc() can return NULL on memory exhaustion; a_hdr was dereferenced without a check. if (a_hdr == NULL) k_error("I...
op_array.c         768  src_a_hdr was used uninitialized on the path where the switch default case is taken (analyzer cannot see that k_not_a...
op_array.c         775  src_elements and src_indx were used uninitialized on the path where the switch default case is taken (analyzer cannot...
op_array.c         786  tgt_a_hdr was used uninitialized on the path where the switch default case is taken (analyzer cannot see that k_not_a...
op_array.c         793  tgt_elements and tgt_indx were used uninitialized on the path where the switch default case is taken (analyzer cannot...
op_array.c        1295  Guard against a missing chunk before dereferencing a_chnk. The chunk table entry should always be non-NULL here, but ...
op_btree.c          52  k_error() longjmps back to the kernel command loop and never returns, but the analyzer cannot see this across transla...
op_btree.c         124  If bt_get_string() fails below, free_btree_element() reads new_bte->parent before it has been assigned. Initialize it...
op_btree.c         315  Validate the key count from the BTree header. A key count outside 1..MAX_BTREE_KEYS would leave the new element's key...
op_btree.c         346  If bt_get_string() fails below, free_btree_element() reads new_bte->parent before it has been assigned. Initialize it...
op_ccall.c          70  res64 was used uninitialized if a result was stored before any call/load operation had set it. Initialize to zero. u_...
op_dio1.c           50  k_error() longjmps back to the kernel command loop and never returns, but the analyzer cannot see this across transla...
op_dio1.c          392  fptr is only assigned when fno > 0 but is dereferenced in the DIRECTORY_FILE case below regardless. Initialize to NUL...
op_dio1.c          447  fptr is only valid when fno > 0 (see top of function). A directory file variable whose file table entry was never all...
op_dio1.c          637  Replaced strtok() with the reentrant strtok_r(), preserving the original tokenizing semantics. server = strtok(mapped...
op_dio1.c          763  The analyzer cannot prove that -dh_err is non-zero in the default case above, so it reported fvar as leaked at functi...
op_dio1.c          842  The analyzer cannot prove that -dh_err is non-zero here, so it reported fvar as leaked at function exit. Perform the ...
op_dio2.c          113  dh_file and floatnum are only assigned on some switch paths; initialize them so no path can ever read indeterminate v...
op_dio2.c          128  See dh_file above. double floatnum; double floatnum = 0.0;
op_dio2.c          361  This case fell through into FL_PRI_BYTES. That was harmless (FL_PRI_BYTES does nothing when not dynamic, and this poi...
op_dio2.c          794  Extract() can return NULL on allocation failure and owner_name was passed to getpwnam() before any NULL test. Treat a...
op_dio2.c         1051  Use re-entrant strtok_r() instead of strtok(), which keeps hidden static state that breaks any caller that is itself ...
op_dio2.c         1070  See savep declaration above. while ((q = strtok(p, DSS)) != NULL) { while ((q = strtok_r(p, DSS, &savep)) != NULL) {
op_dio3.c           59  k_error() longjmps back to the kernel command loop and never returns, but the analyzer cannot see this across transla...
op_dio3.c          579  Fall-through is intentional (see comment above); make it explicit for the compiler. __attribute__((fallthrough));
op_dio3.c         1047  Fall-through is intentional (see comment above); make it explicit for the compiler. __attribute__((fallthrough));
op_dio3.c         1493  k_alloc() can return NULL on memory exhaustion; t1_buffer was used without a check by the callers of t1_buffer_alloc(...
op_exec.c           49  k_error() longjmps back to the kernel command loop and never returns, but the analyzer cannot see this across transla...
op_iconv.c         630  digits and shift were used uninitialized if radix was not 2, 8 or 16 (all callers pass one of these, but the analyzer...
op_jumps.c          62  k_error() longjmps back to the kernel command loop and never returns, but the analyzer cannot see this across transla...
op_jumps.c         363  Fall-through is intentional (see comment above); make it explicit for the compiler. __attribute__((fallthrough));
op_jumps.c         671  hdr was used uninitialized on the path where the switch default case is taken. Initialize to NULL at declaration. str...
op_loads.c         971  Fall-through is intentional (see comment above); make it explicit for the compiler. __attribute__((fallthrough));
op_lock.c          507  Fall-through is intentional (see comment above); make it explicit for the compiler. __attribute__((fallthrough));
op_lock.c         1071  lptr was used uninitialized on the path where the file lock check jumps to exit_lock_record before lptr is first assi...
op_lock.c         1086  New local used to test the result of UserPtr() for NULL before dereferencing it in the deadlock detection loops below...
op_lock.c         1172  UserPtr() returns NULL if the user is no longer logged in; check before dereferencing. A NULL entry is treated as "no...
op_lock.c         1193  UserPtr() returns NULL if the user is no longer logged in; check before dereferencing. A NULL entry is treated as "no...
op_lock.c         1318  Fall-through is intentional (see comment above); make it explicit for the compiler. __attribute__((fallthrough));
op_lock.c         1330  Also check lptr against NULL: it is NULL on the early file-lock conflict path, which always produces a negative block...
op_lock.c         1363  file_id was used uninitialized if this function was called with fvar == NULL and a non-zero id_len (callers never do ...
op_lock.c         1556  lptr is only assigned when idx > 0; although the dereference below is guarded by the same condition, the analyzer can...
op_lock.c         1600  Also check lptr against NULL: lptr is non-NULL whenever idx > 0 (see assignment above), but the analyzer cannot prove...
op_logic.c         461  Fall-through is intentional (see comment above); make it explicit for the compiler. __attribute__((fallthrough));
op_logic.c         506  Fall-through is intentional (see comment above); make it explicit for the compiler. __attribute__((fallthrough));
op_logic.c         535  Fall-through is intentional (see comment above); make it explicit for the compiler. __attribute__((fallthrough));
op_logic.c         560  Fall-through is intentional (see comment above); make it explicit for the compiler. __attribute__((fallthrough));
op_misc.c         1349  Time-of-day conversion failed; wake_time was never assigned and the sleep loop would read an indeterminate value. Ret...
op_oconv.c         107  k_error() longjmps back to the kernel command loop and never returns, but the analyzer cannot see this across transla...
op_oconv.c        1294  Init shift/step/mask/digits so an unexpected radix cannot leave them uninitialized. int16_t shift; int16_t shift = 0;...
op_oconv.c        1517  s/z may be read at apply_formatting; zero-init satisfies analyzer. char s[99 + 1]; char s[99 + 1] = ""; char z[99 + 1...
op_oconv.c        1525  Init is_integer; default switch calls k_error() which never returns but the analyzer cannot see that. bool is_integer...
op_oconv.c        1537  Fully zero z before any path uses it. memset(z, 0, sizeof(z));
op_oconv.c        1924  Integer path may leave result in s. if ((z[0] == '\0') && (s[0] != '\0')) strcpy(z, s);
op_oconv.c        1954  Skip memcpy when n==0 (null_zero path). memcpy(q, z, n); if (n > 0) { memcpy(q, z, (size_t)n); q += n; }
op_oconv.c        2545  Cast for sign-compare with size_t. n = (q != NULL) ? (q - s) : strlen(s); / * Chars before decimal * / n = (q != NULL...
op_oconv.c        3014  Intentional fall-through to 'J'. / * **** Fall through **** * / __attribute__((fallthrough));
op_oconv.c        3298  Use strtok_r for reentrancy. (void)strtok(ordinals[0], ","); for (j = 1; j < 31; j++) ordinals[j] = strtok(NULL, ",")...
op_sdext.c          51  k_error() longjmps and never returns; redeclare noreturn for analyzer. void k_error(char msg[], ...) __attribute__((n...
op_sdext.c         287  malloc(1) can fail; return a static empty string instead of dereferencing NULL. p = malloc(1); *p = '\0'; return p; {...
op_sdpyobj.c        47  k_error() longjmps and never returns; redeclare noreturn for analyzer. void k_error(char msg[], ...) __attribute__((n...
op_seqio.c          46  k_error() and k_deadlock() never return, but the analyzer cannot see that across translation units. void k_error(char...
op_seqio.c         625  Free fvar before exit; the analyzer cannot see that status-based cleanup always runs here. if (fvar->file_id > 0) { S...
op_seqio.c         656  Intentional fall-through when deadlock handler is disabled. __attribute__((fallthrough));
op_seqio.c         666  The deadlock path above frees fvar before falling through; do not dereference it again. if (fvar->file_id > 0) { if (...
op_seqio.c         772  Use saved status for cleanup; process.status may be cleared for ER_RNF before resources are freed. if (process.status...
op_seqio.c         865  timeout was read uninitialized; take the value stored on the SQ_FILE. (timeout used below without assignment) timeout...
op_seqio.c        1061  timeout was read uninitialized; take the value stored on the SQ_FILE. timeout = sq_file->timeout;
op_seqio.c        1466  Initialize so early-exit paths do not use an indeterminate pointer. SQ_FILE* sq_file; SQ_FILE* sq_file = NULL;
op_seqio.c        1539  Early error exits happen before sq_file is assigned; only invalidate the read buffer when we have a valid sq_file poi...
op_sh.c             39  k_error() never returns, but the analyzer cannot see that across translation units. void k_error(char msg[], ...) __a...
op_sh.c            163  Initialize pipe fd pairs so paths that skip pipe() do not read indeterminate values; use -1 for unused slots. int Chi...
op_sh.c            221  Close the output pipe if input pipe creation fails. if (use_output_pipe) { close(ChildToSDPipe[0]); close(ChildToSDPi...
op_sh.c            265  fork() failed; close any pipes that were opened. if (use_output_pipe) { close(ChildToSDPipe[0]); close(ChildToSDPipe[...
op_skt.c            80  k_error() never returns, but the analyzer cannot see that across translation units. void k_error(char msg[], ...) __a...
op_skt.c           168  Init for early-exit cleanup paths. SOCKVAR* sock; SOCKVAR* sock = NULL;
op_skt.c           247  Release socket on error paths. if ((process.status != 0) && (sock != NULL)) { close(sock->socket_handle); k_free(sock...
op_skt.c           901  Init so error cleanup can test skt. SOCKET skt; SOCKET skt = INVALID_SOCKET;
op_skt.c           915  Init res for error-path cleanup. struct addrinfo hint, *res; struct addrinfo hint, *res = NULL;
op_skt.c          1067  Close listening socket on error. if ((process.status != 0) && (skt != INVALID_SOCKET)) { close(skt); skt = INVALID_SO...
op_sort.c           72  k_error() never returns, but the analyzer cannot see that across translation units. void k_error(char msg[], ...) __a...
op_sort.c          899  Guard before dereference. if (assembly_buffer == NULL) k_error("Insufficient memory for sort assembly buffer");
op_sort.c         1034  Zero-init merge buffer pointers. char* buff[MAX_SORTMRG]; / * ...disk buffer... * / char* buff[MAX_SORTMRG] = {NULL};
op_sort.c         1072  Zero merge arrays for analyzer. memset(buff, 0, sizeof(buff)); memset(rec, 0, sizeof(rec)); memset(temp, 0, sizeof(te...
op_sort.c         1080  Init buff slots and check alloc. buff[i] = NULL; buff[i] = (char*)k_alloc(66, DISK_BUFFER_SIZE); if (buff[i] == NULL)...
op_sort.c         1103  Free merge buffers on open fail. status = FALSE; free_sort_merge_buffs(buff, pcfg.sortmrg);
op_sort.c         1111  Init rec; skip if buffer missing. rec[i] = NULL; if (buff[i] == NULL) goto exit_merge_sort_files;
op_sort.c         1131  Free merge buffers on open fail. status = FALSE; free_sort_merge_buffs(buff, pcfg.sortmrg);
op_sort.c         1148  Bound scan for first non-NULL rec. for (best = 0; rec[best] == NULL; best++) { } / * Find first stream * / for (best ...
op_sort.c         1305  Free unread temp merge records. if (temp[i] && (rec[i] != NULL)) k_free(rec[i]);
op_sort.c         1312  Release all merge work buffers. free_sort_merge_buffs(buff, pcfg.sortmrg);
op_sort.c         1315  Free merge output buffer on error. if (outbuff != NULL) k_free(outbuff);
op_sort.c         1334  Init for early-exit paths. int16_t buff_len; int16_t buff_len = 0;
op_sort.c         1338  Init for early-exit paths. int16_t offset; int16_t offset = 0;
op_sort.c         1348  Caller must supply merge buffer. if (buff == NULL) goto exit_read_merge_record;
op_sort.c         1390  Free partial temp record. if (*temp && (rec != NULL)) { k_free(rec); rec = NULL; *temp = FALSE; }
op_str1.c          761  Initialize str so the analyzer can prove it is never NULL when the else branch links a new chunk. STRING_CHUNK* str; ...
op_str1.c          782  Guard against string chunk allocation failure. if (new_str == NULL) { k_error("Insufficient memory for string chunk")...
op_str1.c          790  Use str == NULL for first chunk. if (descr->data.str.saddr == NULL) { descr->data.str.saddr = new_str; new_str->ref_c...
op_str2.c         1222  The <1,1,1> fast path jumps to found: without reading a character, so c must be initialized before it is tested at th...
op_str5.c          130  Initialize str1/str2 so no comparison path can read indeterminate pointers when a string header is NULL. char* str1; ...
op_str5.c          182  NULL str1 implies implicit leading spaces (right-justify). if (str1 == NULL) continue;
op_str5.c          192  No further chunk; treat remainder as spaces. if (str1_hdr == NULL) break;
op_str5.c          205  See str1 NULL guard above. if (str2 == NULL) continue;
op_str5.c          214  See str1_hdr guard above. if (str2_hdr == NULL) break;
op_str5.c          228  NULL chunk data ends comparison (shorter effective string). if ((str1 == NULL) || (str2 == NULL)) break;
op_tio.c           216  Intentional fall-through: try "hpa" first, then "cuf". __attribute__((fallthrough));
op_tio.c           230  Intentional fall-through: try "cuf" then emit "cuf1". __attribute__((fallthrough));
op_tio.c           475  atoi() has undefined behaviour on overflow; strtol is equivalent for valid inputs and returns 0 on garbage like atoi....
reccache.c          59  k_alloc() is malloc() and can return NULL; stop expanding the cache instead of dereferencing NULL. if (p == NULL) break;
sd.c               280  k_alloc() can return NULL; abort startup rather than strcpy to NULL. if (entry_dir == NULL) { fprintf(stderr, "sd: in...
sd.c               303  atoi -> strtol (no overflow UB). forced_user_no = atoi(argv[arg] + 1); forced_user_no = (int)strtol(argv[arg] + 1, NU...
sd.c               369  atoi -> strtol (no overflow UB). phantom_user_index = atoi(argv[arg] + 2); phantom_user_index = (int)strtol(argv[arg]...
sd.c               441  Intentional fall-through: unrecognized -S... options are handled as long options in case '-'. __attribute__((fallthro...
sd.c               474  k_alloc() can return NULL; skip single-command mode on failure. if (single_command == NULL) { fprintf(stderr, "sd: in...
sd_encrypt_sodium.c   104  k_error() longjmps and never returns; redeclare noreturn for analyzer. void k_error(char msg[], ...) __attribute__((n...
sdclilib.c        1391  Intentional fall-through: SV_PROMPT shares reply extraction. **** FALL THROUGH **** __attribute__((fallthrough));
sdclilib.c        1408  malloc() can fail; return empty string instead of strcpy through NULL. if (reply == NULL) { *err = session[session_id...
sdclilib.c        2485  Intentional fall-through: SV_OK shares reply extraction. **** FALL THROUGH **** __attribute__((fallthrough));
sdclilib.c        2506  malloc() can fail; return empty string instead of memcpy through NULL. if (reply == NULL) { *err = session[session_id...
sdclilib.c        2847  Default status for early exit paths that skip the server switch. int32_t status; int32_t status = SV_ERROR;
sdclilib.c        2896  malloc() can fail; return empty string instead of memcpy through NULL. if (rec == NULL) { *err = status; return NullS...
sdclilib.c        3413  malloc(1) can fail; return a static empty string instead. p = malloc(1); *p = '\0'; return p; p = malloc(1); if (p ==...
sdext_eguid.c       84  caller_uid is uid_t (unsigned), so "caller_uid < 0" is always false and the "RESTORE before SET" error could never be...
sdfix.c            716  "%d" requires pointers to signed int, but w_addr/w_data are u_int32_t: that is undefined behaviour, and it also allow...
sdfix.c            758  w_addr is unsigned so "w_addr < 0" was always false (negative input is now rejected at parse time above). Perform the...
sdfix.c            804  Same as above: drop the always-false unsigned "< 0" test and do the range check in 64-bit arithmetic so it cannot wra...
sdfix.c           1717  malloc() can fail; return zero offset instead of dereferencing NULL. if (buff == NULL) return 0;
sdfix.c           2284  malloc() can fail; abandon mapping this node. if (buff == NULL) { emit("Out of memory mapping node %d\n", node); goto...
sdfix.c           2320  Free buff before aborting the AK map walk. if (quit) goto exit_map_node;
sdfix.c           2478  malloc() can fail; exit without dereferencing NULL buffers. if ((buff == NULL) || (big_buff == NULL)) { emit("Out of ...
sdidx.c            602  Use re-entrant strtok_r() instead of strtok(). char* savep = NULL;
sdidx.c            619  See savep above. while ((q = strtok(p, DSS)) != NULL) { while ((q = strtok_r(p, DSS, &savep)) != NULL) {
sdlnxd.c           139  Single-quote the executable path so spaces or shell metacharacters in the (administrator controlled) system directory...
sdlnxd.c           196  If the open() failed, "bytes" was used uninitialized and write()/ close() were called with a negative file descriptor...
sdtermlb.c         228  NumBoolNames is size_t; cast for max() with int bool_count. i = max(NumBoolNames, bool_count); i = max((int)NumBoolNa...
sdtermlb.c         252  NumNumNames is size_t; cast for max() with int num_count. bytes = max(NumNumNames, num_count) * sizeof(int16_t); byte...
sdtermlb.c         272  NumStrNames is size_t; cast for max() with int str_count. bytes = max(NumStrNames, str_count) * sizeof(char*); bytes ...
sdtermlb.c         302  Num*Names macros are size_t; cast for comparison with int loop index. for (i = bool_count; i < NumBoolNames; i++) for...
sdtermlb.c         318  See NumStrNames cast above. for (i = 0; i < NumStrNames; i++) { for (i = 0; i < (int)NumStrNames; i++) {
sdtermlb.c         352  See NumBoolNames cast above. for (i = 0; i < (int)NumBoolNames; i++) { if (!strcmp(str, boolnames[i])) return tinfo.B...
sdtermlb.c         369  See NumNumNames cast above. for (i = 0; i < (int)NumNumNames; i++) { if (!strcmp(str, numnames[i])) { if (tinfo.Numbe...
sdtermlb.c         398  See NumStrNames cast above. for (i = 0; i < (int)NumStrNames; i++) { if (!strcmp(id, strnames[i])) { result = tinfo.S...
sdtic.c            535  atoi -> strtol. numerics[n] = atoi(++p); numerics[n] = (int)strtol(++p, NULL, 10);
sdtic.c            617  Use re-entrant strtok_r() instead of strtok(). { char* savep = NULL; p = strtok(term_name, "|"); do { if ((name_head ...
sdtic.c            958  malloc() can fail; skip duplicate tracking on allocation failure. if (tn == NULL) goto exit_decompile_entry;
sdtic.c            978  NumBoolNames is size_t; cast for comparison with int16_t index. if (i < NumBoolNames) { if (i < (int)NumBoolNames) {
sdtic.c           1008  See NumNumNames cast above. if (i < NumNumNames) { if (i < (int)NumNumNames) {
sdtic.c           1029  See NumStrNames cast above. if (i < NumStrNames) { if (i < (int)NumStrNames) {
sdtic.c           1193  malloc() can fail; skip this directory entry. if (p == NULL) continue;
strings.c          153  POOL_RANGES is a size_t; cast for comparison with int16_t loop index. for (i = 0; i < POOL_RANGES; i++) { for (i = 0;...
strings.c          184  k_alloc() is malloc() and can return NULL. if (p == NULL) { k_error("Insufficient memory for string chunk"); return N...
strings.c          218  See POOL_RANGES cast above. for (i = 0; i < POOL_RANGES; i++) { for (i = 0; i < (int16_t)POOL_RANGES; i++) {
strings.c          487  See POOL_RANGES cast above. for (i = 0; i < POOL_RANGES; i++) { for (i = 0; i < (int16_t)POOL_RANGES; i++) {
to_file.c          212  k_alloc() can return NULL; abort rather than writing through NULL. if (pu->buff == NULL) k_error("Insufficient memory...
txn.c              613  Use-after-free: when an entry was dechained and k_free'd, the for loop update clause still executed "prev = txn", lea...

Verification
------------
Full-tree gcc -fanalyzer across gplsrc/*.c: 0 warnings.
Per-file check:
  gcc -fanalyzer -std=gnu17 -Wall -Wextra -Wno-unused-parameter \
    -Wformat=2 -Wno-format-nonliteral -DLINUX -D_FILE_OFFSET_BITS=64 -I. \
    $(python3-config --includes) -I/tmp/sd-inc -DEMBED_PYTHON -DGPL -c <file>

Full make sd requires sdext_python_inc.h from the install script (or a
stand-in under gplsrc that includes <Python.h>).
